Cleveland,Cleveland,OH,Ohio,Cuyahoga,1710093,world.usa.ohio,world.usa.ohio.cuyahoga,world.usa.ohio.cuyahoga.cleveland
Cincinnati,Cincinnati,OH,Ohio,Hamilton,1662691,world.usa.ohio,world.usa.ohio.hamilton,world.usa.ohio.hamilton.cincinnati
Columbus,Columbus,OH,Ohio,Franklin,1562009,world.usa.ohio,world.usa.ohio.franklin,world.usa.ohio.franklin.columbus
Dayton,Dayton,OH,Ohio,Montgomery,718353,world.usa.ohio,world.usa.ohio.montgomery,world.usa.ohio.montgomery.dayton
Akron,Akron,OH,Ohio,Summit,565208,world.usa.ohio,world.usa.ohio.summit,world.usa.ohio.summit.akron
Toledo,Toledo,OH,Ohio,Lucas,482111,world.usa.ohio,world.usa.ohio.lucas,world.usa.ohio.lucas.toledo
Youngstown,Youngstown,OH,Ohio,Mahoning,378732,world.usa.ohio,world.usa.ohio.mahoning,world.usa.ohio.mahoning.youngstown
Canton,Canton,OH,Ohio,Stark,269418,world.usa.ohio,world.usa.ohio.stark,world.usa.ohio.stark.canton
Lorain,Lorain,OH,Ohio,Lorain,180279,world.usa.ohio,world.usa.ohio.lorain,world.usa.ohio.lorain.lorain
Middletown,Middletown,OH,Ohio,Butler,97730,world.usa.ohio,world.usa.ohio.butler,world.usa.ohio.butler.middletown
